unnamed_0,age,gender,weight_kg,height_m,max_bpm,avg_bpm,resting_bpm,session_duration_hours,workout_type,fat_percentage,water_intake_liters,workout_frequency_daysweek,experience_level,bmi,base_met,hr_intensity,effective_met,calories_burned_kcal
0,56,Female,53.8,1.62,163,149,71,1.01,HIIT,22.1,3.5,3,1,20.4,9.5,0.847826087,8.054347826,437.7
1,46,Male,54.9,1.75,170,126,73,0.25,Yoga,19.9,3.4,3,0,18.0,3.0,0.546391753,1.639175258,22.5
2,32,Female,68.5,1.61,190,171,60,0.33,HIIT,20.4,2.7,3,1,26.5,9.5,0.853846154,8.111538462,183.4
3,25,Male,98.8,1.86,189,135,69,0.78,Yoga,30.3,4.4,3,0,28.5,3.0,0.55,1.65,127.2
4,38,Male,95.5,1.71,176,138,66,0.55,Cardio,23.7,2.2,2,0,32.5,7.0,0.654545455,4.581818182,240.7
5,56,Female,47.4,1.62,163,124,77,0.75,Yoga,28.7,3.7,5,1,18.1,3.0,0.546511628,1.639534884,58.3
6,36,Female,71.1,1.62,183,136,78,0.41,Yoga,25.5,3.3,2,0,27.1,3.0,0.552380952,1.657142857,48.3
7,40,Female,72.5,1.63,176,137,63,0.52,Cardio,18.3,2.7,3,1,27.3,7.0,0.654867257,4.584070796,172.8
8,28,Male,71.6,1.82,191,164,83,0.78,Mixed,26.5,4.2,2,0,21.7,8.0,0.75,6.0,335.1
9,28,Female,49.0,1.55,199,166,66,0.67,Mixed,21.3,3.7,4,1,20.3,8.0,0.751879699,6.015037594,197.5
10,41,Male,51.2,1.61,179,126,62,1.07,Yoga,14.5,3.8,7,3,19.7,3.0,0.547008547,1.641025641,89.9
11,53,Male,57.7,1.62,161,140,77,0.44,Mixed,28.7,3.5,3,0,21.9,8.0,0.75,6.0,152.3
12,57,Male,69.9,1.68,163,135,70,0.43,Strength,27.6,2.8,4,1,24.8,6.0,0.698924731,4.193548387,126.0
13,41,Female,80.4,1.65,168,142,63,1.0,Mixed,20.9,4.6,6,2,29.4,8.0,0.752380952,6.019047619,483.9
14,20,Female,66.6,1.53,205,186,75,0.65,HIIT,37.7,3.0,3,0,28.4,9.5,0.853846154,8.111538462,351.1
15,39,Female,48.4,1.64,175,143,69,0.97,Strength,27.0,3.6,4,1,18.0,6.0,0.698113208,4.188679245,196.7
16,19,Male,58.1,1.67,202,171,76,0.48,Mixed,25.5,4.4,2,0,20.8,8.0,0.753968254,6.031746032,168.2
17,41,Male,76.4,1.62,180,149,76,0.25,Strength,28.3,2.8,2,0,29.2,6.0,0.701923077,4.211538462,80.4
18,47,Female,64.4,1.75,169,136,57,1.39,Strength,9.0,3.9,7,3,21.1,6.0,0.705357143,4.232142857,378.8
19,55,Male,74.6,1.77,171,149,81,0.56,Mixed,24.7,4.3,3,0,23.8,8.0,0.755555556,6.044444444,252.5
20,19,Male,50.3,1.67,205,184,66,0.44,HIIT,16.1,2.5,5,1,18.0,9.5,0.848920863,8.064748201,178.5
21,38,Male,83.0,1.7,178,163,77,0.84,HIIT,29.1,3.8,3,0,28.6,9.5,0.851485149,8.089108911,564.0
22,50,Female,38.6,1.46,174,143,73,0.25,Strength,29.8,2.5,3,0,18.0,6.0,0.693069307,4.158415842,40.1
23,29,Male,48.3,1.64,186,157,71,0.58,Mixed,21.2,3.9,3,0,18.0,8.0,0.747826087,5.982608696,167.6
24,39,Male,89.4,1.78,188,171,74,0.27,HIIT,17.1,2.6,3,0,28.2,9.5,0.850877193,8.083333333,195.1
25,42,Female,85.0,1.64,184,155,67,0.8,Mixed,25.8,3.9,5,1,31.7,8.0,0.752136752,6.017094017,409.2
26,44,Female,58.9,1.61,181,153,68,0.87,Mixed,14.4,4.4,4,2,22.8,8.0,0.752212389,6.017699115,308.4
27,59,Female,86.0,1.9,153,115,70,0.69,Yoga,24.2,4.0,5,1,23.8,3.0,0.542168675,1.626506024,96.5
28,45,Female,95.8,1.86,172,129,77,0.6,Yoga,31.4,3.5,5,1,27.6,3.0,0.547368421,1.642105263,94.4
29,33,Female,75.0,1.73,184,129,60,1.0,Yoga,22.6,4.4,7,2,25.2,3.0,0.556451613,1.669354839,125.2
30,32,Female,72.4,1.79,185,153,55,1.69,Mixed,11.1,5.0,6,3,22.5,8.0,0.753846154,6.030769231,737.9
31,20,Male,46.9,1.46,205,158,72,0.89,Cardio,20.6,3.5,3,1,22.1,7.0,0.646616541,4.526315789,188.9
32,54,Male,46.2,1.6,157,135,69,1.25,Mixed,14.7,4.3,7,3,18.0,8.0,0.75,6.0,346.5
